method,opponent,stage,tournament,weight,win_loss,year
Pen,Sean Alvarez,4F,ADCC,O99KG,L,2001
Footlock,JJ Machado,4F,ADCC,ABS,L,2001
Pts: 6x5,Fernando Terere,F,Brasileiro,ABS,L,2001
"Pts: 2x2, Adv",Marcio Corleta,SF,World Champ.,O100KG,L,2001
Pts: 3x0,Dean Lister,SF,ADCC,ABS,L,2003
Pts: 6x0,Fabricio Werdum,3PLC,ADCC,ABS,L,2003
Calf slicer,Gabriel Napao,SF,ADCC,O99KG,L,2005
,Fernando Margarida,SPF,Yamasaki Cup,ABS,L,2005
Points,Gabriel Gonzaga,F,World Cup,O100KG,L,2006
Adv,Andre Galvao,F,Team Nationals,O88KG,L,2006
Points,Rolles Gracie,SF,ADCC,O99KG,L,2007
,Vinny Magalhaes,4F,ADCC,99KG,L,2009
,Rodrigo Cavaca,4F,World Champ.,O100KG,L,2010
Submission,Rodrigo Cavaca,SF,World Champ.,O100KG,L,2011
Pts: 12x4,Roberto Abreu,R2,World Champ.,ABS,L,2012
Pts: 4x2,Marcus Almeida,SF,World Champ.,O100KG,L,2012
Referee Decision,Alexandre Ribeiro,SPF,UFC Expo,ABS,L,2015
"Pts: 0x0, Adv",Joao Rocha,4F,IBJJF Pro GP,ABS,L,2017
Kneebar,Van Arsdale,R1,ADCC,O99KG,W,2001
,Ricco Rodriguez,3RD,ADCC,O99KG,W,2001
Points,Roberto Traven,R1,ADCC,ABS,W,2001
N/A,Carlos Alberto,F,Brasileiro,O100KG,W,2001
,Marcio Corleta,4F,World Champ.,ABS,W,2001
Pts: 2x0,Fernando Terere,SPF,Manaus Challenge,ABS,W,2002
Points,Unknown,4F,World Champ.,O100KG,W,2002
Choke,Felipe Pederneiras,SF,World Champ.,O100KG,W,2002
Knee ride,Luiz Guilherme,F,World Champ.,O100KG,W,2002
,Marcus Valle,R1,World Champ.,ABS,W,2002
Triangle armbar,Roger Coelho,4F,World Champ.,ABS,W,2002
Pts: 2x0,Alexandre Ribeiro,SF,World Champ.,ABS,W,2002
Pts: 2x0,Saulo Ribeiro,F,World Champ.,ABS,W,2002
Pts: 10x2,Eduardo Telles,F,Team Nationals,O88KG,W,2002
Kneebar,Alex Monsalve,4F,Team Nationals,O88KG,W,2003
,Rodrigo Artilheiro,SF,ADCC Trials,O99KG,W,2003
N/A,Fabiano Scherner,F,ADCC Trials,O99KG,W,2003
Points,Mike Whitehead,R1,ADCC,O99KG,W,2003
Points,Jeff Monson,4F,ADCC,O99KG,W,2003
Guillotine,Alex Negao,SF,ADCC,O99KG,W,2003
Points,Fabricio Werdum,F,ADCC,O99KG,W,2003
Points,Ilir Lafiti,R1,ADCC,ABS,W,2003
Pts: 6x0,Marcelo Garcia,4F,ADCC,ABS,W,2003
,Beto Ferreira,R1,World Champ.,ABS,W,2003
,Leo. Montenegro,R2,World Champ.,ABS,W,2003
Pts: 7x0,Fabricio Werdum,SF,World Champ.,ABS,W,2003
Pts: 3x0,Roger Gracie,F,World Champ.,ABS,W,2003
Pts: 15x0,Robert Handley,SPF,Brazil vs USA,O100KG,W,2003
,Thiago Cruz,SF,Pan American,O100KG,W,2003
Knee on belly,Todd Margolis,4F,Pan American,ABS,W,2003
,Joao Silva,SF,Pan American,ABS,W,2003
,Fabricio Werdum,F,Pan American,ABS,W,2003
Referee Decision,Alexandre Ribeiro,SPF,Best Fighters,ABS,W,2004
Pts: 2x0,Alexandre Ribeiro,F,Pan American,ABS,W,2005
,Miodrag Petkovic,R1,ADCC,O99KG,W,2005
Pts: 2x0,Daniel Simoes,4F,ADCC,O99KG,W,2005
Choke,Unknown,4F,Team Nationals,O88KG,W,2006
,J. Pietlainen,R1,ADCC,O99KG,W,2007
Points,Marcos Oliveira,4F,ADCC,O99KG,W,2007
Points,Darren Andy,3PLC,ADCC,O99KG,W,2007
Points,Anthony Perosh,R1,ADCC,99KG,W,2009
,Tom Florence,RDS,World Champ.,O100KG,W,2011
Choke,Pega Leve,4F,World Champ.,O100KG,W,2011
,Daniel Richards,R2,World Champ.,ABS,W,2012
N/A,Stephen Hall,R2,World Champ.,O100KG,W,2012
,Antonio Peinado,4F,World Champ.,O100KG,W,2012
Pen,R. Evangelista,SF,IBJJF Pro League,O94KG,W,2013
,Gustavo Pires,F,IBJJF Pro League,O94KG,W,2013
