descripcion,id,titular
,[0],"Análisis: Empate en el Clásico ‘deja viva’ la disputa por la fase, pero resulta ‘justo’"
,[1],Comisión de Árbitros y LigaPro no autorizan implementación del VAR para el partido entre Barcelona SC y Guayaquil City
,[2],LigaPro y GolTV lamentan que cableoperadoras 'valoren más el contenido extranjero que nuestro fútbol querido'
,[3],"Emelec, Barcelona SC y Guayaquil City, el que pierde se despide de la lucha por llegar a la final de la LigaPro"
Emelec depende de sí para mantenerse como puntero de la segunda etapa de la LigaPro y este miércoles (17:30) afrontará un crucial duelo contra...,[4],Presidente de Macará: Le voy al Independiente del Valle en el duelo contra Emelec
Todos los partidos de clasificación mundialista se disputarán a ida y vuelta entre marzo y noviembre de 2021.,[5],Así quedaron conformados los grupos de la clasificación europea al Mundial
"Para la prueba se conforman equipos de seis pilotos, cada uno tendrá cuatro turnos y 2 horas en pista. ",[6],Carrera de 12 horas de duración cierra temporada del karting en Cotopaxi
"(VIDEO) El libro de historias dignas de ser contadas en el mundo del fútbol es interminable. Alegres, tristes, de superación... las hay de infinidad...",[7],"Jetro Willems, de mula de la droga a los 9 años a defensor de la selección de Holanda"
"En el programa 'Intrusos', de América TV, Jorge Rial, periodista y empresario argentino, quiso poner un poco de claridad sobre las dudas que hay en...",[8],"Diego Armando Maradona se gastaba $ 121.000 para alimentar a 50 familias, según empresario"
El Frente de Todos presentó un proyecto de ley en el Senado para que al menos la mitad de los billetes de 1000 pesos o mayores que se emitan en 2021...,[9],Gobierno argentino propone imprimir billetes con la imagen de Diego Armando Maradona
"(VIDEO) En su primera conferencia de prensa tras la debacle ante España, en el último partido de la Liga de Naciones, el técnico ha tenido que...",[10],Joachim Löw podría convocar a los jugadores campeones en Brasil 2014 para mejorar el juego de Alemania
"Los clubes capitalinos llegan a la revancha con ventaja sobre Liga de Quito y Barcelona, respectivamente.",[11],El Nacional y Ñañas se acercan a la final de la Superliga Femenina
Deportivo Cuenca debe seguir ganando para estar lo más alejado posible del descenso. En tanto que Macará no cesa en su lucha para acceder al último...,[12],"Deportivo Cuenca vs. Macará: fecha, horarios y canales de TV para ver en vivo"
"Desde el inicio de la temporada, Pjanic ha sido titular en los cinco partidos del Barça en Champions League, pero solo una en diez encuentros de...",[13],No hay tranquilidad en el Barça: Pjanic se queja por las pocas oportunidades para jugar
"La comisión ejecutiva del COI fijó el programa definitivo de París-2024, que incluye estas cuatro disciplinas “adicionales” a los 28 deportes...",[14],"Breakdance integrará el programa olímpico de París-2024, anuncia el COI"
El representante anuncia en una entrevista para Tuttosport que el francés saldrá del club inglés el próximo año a pesar de tener contrato hasta 2022.,[15],"'Ciclo de Paul Pogba en el Manchester United se acabó', asegura su agente"
"La delantera se congratuló de salir a las canchas en un equipo de primera, tras una ardua pelea para conseguir la autorización.",[16],Futbolista transgénero Mara Gómez celebra su debut histórico en el balompié argentino
El técnico del FC Barcelona volvió a defender este lunes a su capitán Lionel Messi.,[17],"Ronald Koeman: A Messi siempre lo culpan de todo en el Barça, pero él no tiene nada que ver con los errores defensivos"
"La orden de captura es efectiva únicamente en territorio paraguayo, a donde De la Cruz podría viajar en enero de 2021.",[18],"Nicolás de la Cruz, volante de River Plate de Argentina, con orden de captura en Paraguay "
"FC Barcelona y Juventus ya están clasificados para los octavos de final, en este encuentro definirán el primero del grupo G.",[19],"FC Barcelona vs. Juventus: fecha, horarios, canales de TV para ver en vivo"
"El ciclista de Sucumbíos se suma a Steven Haro en el filial, y a Jefferson Cepeda en el profesional del equipo verdiblanco.",[20],Richard Huera se suma al filial del equipo español Caja Rural
"Conciencia de clase, verborragia, histrionismo, lucha contra el poder establecido y origen humilde, factores.",[21],"Cuándo, cómo y por qué se convirtió Maradona en un ídolo popular"
"La fase de grupos de Liga de Campeones llega a su fin con la fecha 6, donde varios equipos ya están clasificados, grupos como el B y H tienen todo...",[22],"Champions League: fecha, horarios y canales  de TV para ver la jornada 6 de la fase de grupos"
"El Nacional debe medirse con   Aucas, Emelec, Macará y Orense en las últimas fechas de la LigaPro.",[23],"'No vamos a bajar los brazos', dice Édison Méndez, en la pelea de El Nacional por la permanencia en Serie A"
El FC Barcelona enfrentará a la Juventus en la última fecha de la fase de grupos.,[24],Lionel Messi y Cristiano Ronaldo se reencuentran en la Champions League
El partido terminó igualado a un gol.,[25],Gustavo Alfaro asistió al Capwell para presenciar el Clásico del Astillero
"El club canario es, a la fecha, el segundo clasificado de la LigaPro Serie A 2020. Pocas amenazas restan.",[26],¿Qué tan cerca está Barcelona de la Libertadores 2021?
Azules y toreros igualaron 1-1 en el último Clásico de la temporada. Emelec perdió un penal al minuto 85.,[27],"Emelec depende de sus resultados, destaca Ismael Rescalvo"
"Juan Ignacio Dinenno, exjugador de Barcelona Sporting Club, anotó un doblete en la goleada a la Máquina, el domingo.",[28],Batacazo de Cruz Azul y los Pumas jugarán la final en México contra León de Ángel Mena
El próximo juego de Barcelona será este miércoles ante Guayaquil City. ,[29],"Para técnico Bustos, árbitro Guillermo Guerrero no sancionó con la misma justicia para ambos equipos el Clásico del Astillero"
"Este 06 de diciembre, a las 19:00(de Ecuador), Emelec enfrenta a Barcelona por la Fecha 11 de Fase 2 de la Ecuador - Liga Pro 2020.",[30],Emelec empata en el Clásico del Astillero y mantiene el liderato
En los últimos 20 años los enfrentamientos entre Barcelona y Emelec –los dos clubes más populares del país– han mantenido la pasión y la expectativa...,[31],Clásico del Astillero: Alineaciones confirmadas de Emelec y Barcelona SC para el duelo en el estadio Capwell
"Llegó el siglo XXI, se han producido varias goleadas, pero el récord de ocho goles en un mismo Clásico del Astillero sigue vigente desde 1955.",[32],"Barcelona SC 5-3 Emelec, el Clásico del Astillero con más goles; un récord vigente desde hace 65 años"
"Los citadinos vencieron 3-1 a Liga de Portoviejo, que está condenado al descenso, en el estadio Christian Benítez.",[33],Guayaquil City triunfa y es firme candidato para ganar la segunda etapa
