amenities,descripcion,nombre,score
"Free parking,Free High Speed Internet (WiFi),Hot tub,Fitness Center with Gym / Workout Room,Free breakfast,Airport transportation,Business Center with Internet Access,Conference facilities,Parking,Wifi,Bar / lounge,Restaurant,Breakfast in the room,Complimentary tea,Special diet menus,Banquet room,Meeting rooms,Fax / photocopying,Massage,Baggage storage,Chapel / shrine,Concierge,Non-smoking hotel,24-hour front desk,Express check-in / check-out,Laundry service,Ironing service,Shoeshine,Allergy-free room,Soundproof rooms,Air conditioning,Desk,Housekeeping,Coffee / tea maker,Flatscreen TV,Bath / shower,Bathrobes,Interconnected rooms available,Room service,Safe,Telephone,VIP room facilities,Bottled water,Iron,Private bathrooms,Minibar,Complimentary toiletries,Hair dryer,Non-smoking rooms,Suites,Family rooms",,Hotel Del Parque,5.0
"Free parking,Free High Speed Internet (WiFi),Free breakfast,Airport transportation,Business Center with Internet Access,Conference facilities,Massage,Baggage storage,Parking garage,Wifi,Bar / lounge,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Banquet room,Meeting rooms,Fax / photocopying,Salon,Concierge,Non-smoking hotel,Shops,ATM on site,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Ironing service,Air conditioning,Room service,Safe,Flatscreen TV,Non-smoking rooms,Suites,Family rooms",,Continental Hotel,4.0
"Free parking,Free High Speed Internet (WiFi),Hot tub,Free breakfast,Bicycle rental,Bicycles available,Babysitting,Children Activities (Kid / Family Friendly),Wifi,Bar / lounge,Restaurant,Special diet menus,Hiking,Horseback riding,Evening entertainment,Airport transportation,Shuttle bus service,Business Center with Internet Access,Meeting rooms,Spa,Concierge,Non-smoking hotel,Outdoor furniture,Private check-in / check-out,Laundry service,Air conditioning,Housekeeping,Room service,Minibar,Non-smoking rooms,Suites,Family rooms",,Hacienda La Danesa,5.0
"Paid private parking nearby,Free High Speed Internet (WiFi),Wifi,Free breakfast,Breakfast available,Airport transportation,Non-smoking hotel,Laundry service,Air conditioning,Flatscreen TV,Non-smoking rooms,Family rooms",,Macaw,5.0
amenities,descripcion,nombre,score
"Free parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Free breakfast,Walking tours,Kids stay free,Children's playground,Airport transportation,Parking,Wifi,Bar / lounge,Restaurant,Breakfast available,Breakfast in the room,Complimentary tea,Complimentary welcome drink,Kids' meals,Outdoor dining area,Special diet menus,Wine / champagne,Children's television networks,Kids' outdoor play equipment,Highchairs available,Taxi service,Business Center with Internet Access,Conference facilities,Banquet room,Meeting rooms,Hand massage,Head massage,Massage,Neck massage,24-hour security,Baggage storage,Chapel / shrine,Concierge,Non-smoking hotel,Outdoor furniture,Doorperson,First aid kit,Umbrella,24-hour check-in,24-hour front desk,Express check-in / check-out,Private check-in / check-out,Laundry service,Ironing service,Shoeshine,Allergy-free room,Soundproof rooms,Air conditioning,Desk,Housekeeping,Coffee / tea maker,Cable / satellite TV,Bath / shower,Bathrobes,Interconnected rooms available,Room service,Safe,Telephone,VIP room facilities,Bottled water,Iron,Private bathrooms,Minibar,Flatscreen TV,Complimentary toiletries,Hair dryer,Non-smoking rooms,Suites,Family rooms","Hotel Del Parque, a Relais & Châteaux Hotel, is Guayaquil's first luxury boutique hotel, which was built within a 125-year-old historic wooden structure that includes a church. This Boutique Hotel offers 44 well-appointed guestrooms and suites, lush tropical gardens, patios and a unique massage room located in the former bell tower. The hotel benefits from its exclusive setting in the Parque Historico Guayaquil; a unique riverfront park themed on the history, nature, and culture of the Ecuadorian coastal area. Although it is only 15 minutes away from Guayaquil’s international airport, the hotel is secluded and it’s tranquil location allows for many customized activities, including nature walks, river cruises, bird and endemic animal observation, introduction to artisanal coffee roasting and chocolate processing, and much more.",Hotel Del Parque,5.0
"Free parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Free breakfast,Airport transportation,Business Center with Internet Access,Conference facilities,Baggage storage,Parking garage,Wifi,Restaurant,Breakfast buffet,Breakfast in the room,Kids' meals,Wine / champagne,Banquet room,Meeting rooms,Concierge,Newspaper,Non-smoking hotel,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Shoeshine,Soundproof rooms,Air conditioning,Desk,Housekeeping,Room service,Minibar,Flatscreen TV,Hair dryer,Safe,Bottled water,Non-smoking rooms,Suites,Family rooms","A landmark seven story hotel situated in the heart of the Guayaquil city center, Hotel Palace Guayaquil is considered to be one of the most traditional and well known hotels in town. Its ideal location is within easy walking distance to the city’s main attractions, financial and shopping areas. The hotel offers ninety five spacious, comfortable and charming guestrooms, all fully carpeted with high ceilings, individually controlled air conditioning, black out draperies, three telephones, including one in the bathroom with international direct dial...",Hotel Palace Guayaquil,4.5
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Kids stay free,Children's television networks,Free airport transportation,Valet parking,Wifi,Hot tub,Pool / beach towels,Pool with view,Adult pool,Outdoor pool,Heated pool,Shallow end in pool,Fitness / spa locker rooms,Sauna,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Happy hour,Kids' meals,Outdoor dining area,Special diet menus,Wine / champagne,Swimup bar,Poolside bar,Kids pool,Free shuttle or taxi services,Airport transportation,Shuttle bus service,Car hire,Taxi service,Business Center with Internet Access,Conference facilities,Banquet room,Meeting rooms,Photo copier / fax In business center,Couples massage,Facial treatments,Foot massage,Full body massage,Hammam,Hand massage,Head massage,Makeup services,Manicure,Massage,Massage chair,Neck massage,Pedicure,Salon,Steam room,Waxing services,Baggage storage,Concierge,Executive lounge access,Gift shop,Newspaper,Non-smoking hotel,Picnic area,Shops,Sun deck,Sun loungers / beach chairs,Sun umbrellas,ATM on site,Doorperson,Infirmary,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Ironing service,Shoeshine,Blackout curtains,Air conditioning,Desk,Housekeeping,Interconnected rooms available,Coffee / tea maker,Cable / satellite TV,Walk-in shower,Room service,Safe,Separate living room,Telephone,VIP room facilities,Wardrobe / closet,Bottled water,Clothes rack,Iron,Wake-up service / alarm clock,Minibar,Refrigerator,Flatscreen TV,Whirlpool bathtub,Complimentary toiletries,Hair dryer,City view,Pool view,Bridal suite,Non-smoking rooms,Suites,Family rooms,Smoking rooms available","Conveniently located in Ecuador, just few minutes from the international airport, Hilton Colon Guayaquil provides relaxing experiences for business and leisure guests alike. Our fully renovated hotel offers comfort, world class dining, elegance, hospitality, detailed service and lot more to enjoy.",Hilton Colon Guayaquil,4.5
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Free shuttle or taxi services,Business Center with Internet Access,Conference facilities,Secured parking,Wifi,Outdoor pool,Fitness / spa locker rooms,Sauna,Restaurant,Breakfast buffet,Snack bar,Airport transportation,Banquet room,Meeting rooms,Spa,Massage,Newspaper,Non-smoking hotel,ATM on site,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Air conditioning,Room service,Safe,Minibar,Flatscreen TV,Non-smoking rooms,Suites,Family rooms","If you’re looking for a family-friendly hotel in Guayaquil, look no further than Sheraton Guayaquil Hotel.,For those interested in checking out popular landmarks while visiting Guayaquil, Sheraton Guayaquil is located a short distance from El Castillo Chocolate Farm (1.9 mi) and El Faro de Guayaquil (2.0 mi).,As your “home away from home,” the hotel rooms offer a flat screen TV, air conditioning, and a minibar, and getting online is easy, with free wifi available.,Guests have access to a 24 hour front desk, room service, and newspaper while staying at Guayaquil Four Points. In addition, Guayaquil Sheraton offers a pool and an on-site restaurant, which will help make your Guayaquil trip additionally gratifying. And, as an added convenience, there is free parking available to guests.,While in Guayaquil be sure to experience nearby diners such as Ville Crepes, Rock Sport Café, or Pollos De Boncho.,Guayaquil is also home to Museo en Miniatura Guayaquil en la Historia, a popular military museum that is not too far from Four Points Guayaquil.,The staff at Sheraton Guayaquil Hotel looks forward to serving you during your upcoming visit.",Sheraton Guayaquil Hotel,4.5
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Free breakfast,Pets Allowed ( Dog / Pet Friendly ),Free airport transportation,Business Center with Internet Access,Secured parking,Wifi,Hot tub,Pool / beach towels,Pool with view,Outdoor pool,Bar / lounge,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Complimentary tea,Kids' meals,Special diet menus,Wine / champagne,Taxi service,Conference facilities,Banquet room,Meeting rooms,Baggage storage,Executive lounge access,Newspaper,Non-smoking hotel,Sun loungers / beach chairs,Sun terrace,Sun umbrellas,Umbrella,24-hour front desk,Dry cleaning,Laundry service,Ironing service,Soundproof rooms,Air conditioning,Desk,Housekeeping,Room service,Coffee / tea maker,Cable / satellite TV,Bath / shower,Safe,Wardrobe / closet,Bottled water,Wake-up service / alarm clock,Refrigerator,Flatscreen TV,Radio,iPod docking station,City view,Pool view,Bridal suite,Non-smoking rooms,Suites,Family rooms","Very nice and warm building with 5 floors, 85 rooms distributed in 40 single rooms with king size beds and 40 double rooms with full size beds and 4 confortable suites. Recreational areas and outdoor swimming pool that gives the perfect window to start an active healthy day or a relaxed endday rest. Six meeting rooms that together integrate the Grand Conference and Banquet room.",Radisson Hotel Guayaquil,4.5
